name,id,food,price,location,avg_rating
Ingas Bar,59402,American,2,Brooklyn Heights,4.65668
DOMODOMO New York,43111,Japanese,2,West Village,4.58868
Bar Primi,52614,Italian,2,NoHo/East Village,4.73913
Carbone,6194,Italian,4,Greenwich Village,4.74977
8282,54395,Korean,1,New York,4.79949
Una Pizza Napoletana,6066,Pizza,3,Lower Manhattan,4.47965
Saigon Social,10494,Vietnamese,1,Lower East Side,4.68248
Celestine,1616,Mediterranean,2,Dumbo,4.58072
Momofuku Ko,3238,American,4,East Village,4.66612
Dante,1290,Italian,2,Greenwich Village,4.66893
Rosie’s,725,Mexican,2,East Village,4.61961
Kappo Sono / Koryori,58600,Japanese,4,New York,5.0
il Buco Alimentari e Vineria,6583,Mediterranean,2,NoHo,4.71203
ATLA,47491,Mexican,2,Noho,4.32767
Lil' Frankie's,10413,Italian,2,East Village,4.4788
Sixty Three Clinton,52711,New American,4,Lower East Side,4.89514
Minetta Tavern,9846,French,2,Greenwich Village,4.76548
Bandits,51904,American,1,West Village,4.52156
da Toscano,8568,Italian,3,Greenwich Village,4.7936
Clinton St. Baking Co,2078,American,2,Lower East SIde,4.71808
Indochine,32470,French Vietnamese,2,Noho,4.67822
The Commerce Inn,53342,American,2,New York,4.38
The Noortwyck,58972,New American,2,New York,4.87582
The Garret West,50733,Cocktail Bar,1,West Village,4.16667
Llama San,4450,Peruvian,2,Lower Manhattan,4.68121
Buvette NYC,4241,French,2,West Village,4.56745
The Spaniard,1435,American,2,West Village,4.49169
Miss Lily's 7A Cafe & Rum Bar,1968,Caribbean,2,East Village,4.66785
Emmett's On Grove,58219,Italian,2,West Village,4.54174
Jeju Noodle Bar,1543,Korean,2,West Village,4.59426
Via Carota,2567,Italian,2,West Village,4.75396
Employees Only,35203,Cocktail Bar,2,West Village,4.47201
Analogue,5902,Cocktail Bar,1,West Village,4.74441
Saint Theo's,52984,Italian,3,West Village,4.39132
Nudibranch,59010,Asian American,2,East Village,4.69106
MáLà Project East Village,6410,Chinese,1,Lower Manhattan,4.69807
Bird Dog NY,55553,Southern,2,"West Village, NYC",4.65658
Shinn East,34687,Sushi,2,East Village,4.86818
Omakase Room by Mitsu,7519,Sushi,4,West Village,4.8
Jeffrey's Grocery,395,Seafood,3,West Village,4.75814
Due West,1990,New American,2,Greenwich Village,4.7277
Shmoné,59072,Israeli,1,Greenwich Village,4.15909
Fairfax,1689,American,2,West Village,4.75915
St Jardim,59132,Natural Wine,1,West Village,4.82963
Cafe Mogador - East Village,34985,Middle Eastern,2,East Village,4.79832
MOKYO,38941,Korean,2,"East Village, NYC",4.84717
Please Don't Tell (PDT),10500,Cocktail Bar,2,East Village,4.56953
Shabu Tatsu,36758,Japanese,2,East Village,4.80052
Dante West Village,9675,Mediterranean,2,West Village,4.62805
American Bar - New York,9906,American,2,West Village,4.57816
Colonie,1999,American,2,Brooklyn Heights,4.83315
Morandi,26,Italian,2,West Village,4.6518
Semma,1263,Indian,2,West Village,4.55631
Yellow Rose,53048,Tex-Mex,1,New York,4.63328
Nat's on Bank,52212,American,2,West Village,4.63927
Balaboosta,27,Israeli,2,West Village,4.59274
The Waverly Inn,58422,American,3,West Village,4.39359
Don Angie,1505,Italian,2,West Village,4.8585
Arthur & Sons NY Italian,56563,Italian American,1,West Village,4.60825
Gage & Tollner,10123,American,2,Downtown Brooklyn,4.66751
Popina NYC,1340,Italian,2,Cobble Hill,4.8242
Jack & Charlie's 118,55266,American,3,West Village,4.72
Barbuto,9649,Italian,2,West Village,4.76978
Pastis,6484,French,2,Meatpacking District,4.78338
Raines Law Room,5886,Cocktail Bar,2,Chelsea,4.69698
Dear Irving Gramercy,5273,Cocktail Bar,2,Gramercy,4.78774
abc Kitchen by Jean-Georges,5255,American,2,Flatiron,4.54135
GupShup,6008,Indian,2,Gramercy,4.31684
The Standard Grill,52869,American,2,Meatpacking,4.02022
abcV by Jean-Georges,5256,Vegetarian,2,Union Square,4.66123
Friend of a Farmer,6570,American,3,Gramercy Park,4.58066
Le Bain,54207,American,2,Meatpacking,3.56098
Sea Wolf Waterfront,52805,Seafood,2,Williamsburg Waterfront,4.03521
Oiji Mi,58543,Korean,3,Flatiron,4.79048
The Tavern at Gramercy Tavern,3731,American,4,Gramercy Park,4.73496
Rezdôra,5771,Italian,3,Flatiron District,4.64943
Misi,3015,Italian,3,Williamsburg,4.71312
JungleBird,39604,Cocktail Bar,2,Chelsea,4.56789
LOULOU,35216,French,2,Chelsea,4.45381
Cote,35676,Korean,3,Chelsea,4.73418
Lucali NY,54876,Pizza,1,Brooklyn,4.8
Al Coro,59989,Italian,2,Chelsea,4.625
Mel's,58524,Pizza,2,Chelsea,4.69311
Bathtub Gin,1245,Cocktail Bar,2,Chelsea,4.4523
Sunday in Brooklyn / Williamsburg,756,American,2,Williamsburg,4.58958
City Winery New York City in Hudson River Park,37243,Wine,2,Chelsea,4.34988
Ume,36113,Sushi,4,Williamsburg,4.53047
Rucola Restaurant,50791,Italian,2,Boerum Hill,4.77816
Thyme Bar,10200,Cocktail Bar,2,Flatiron,4.45095
Francie,17392,American,3,Williamsburg,4.80245
Upland,8338,American,2,Gramercy,4.60146
Peter Luger Steak House,4287,Steakhouse,3,Williamsburg,4.69622
El Quijote,58825,Spanish,1,Chelsea,4.38251
Maison Premiere,51628,Seafood,2,Williamsburg,4.81618
Walter's,653,American,2,Fort Greene,4.68056
Colonia Verde,4626,Latin American,2,Fort Greene,4.82925
"PLANTA Queen, New York",51656,Vegan,2,Nomad,4.64669
Miss Ada,1246,Mediterranean,2,Fort Greene,4.8082
Shukette,8579,Middle Eastern,2,Chelsea,4.83475
Dinner Party,60228,New American,1,Fort Greene,4.80303
Empire Diner NYC,52909,American,2,West Chelsea,4.58172
Red Hook Tavern,6377,American,2,Red Hook,4.8378
ilili,60544,Lebanese,2,Flatiron District,4.53552
Evelina,1851,Italian,2,Fort Greene,4.78142
Scarpetta,35688,Italian,3,NoMad,4.5431
Roman's,1003,Italian,2,Fort Greene,4.84094
Skirt Steak,54599,Contemporary American,1,New York,4.28312
Kokomo Caribbean Restaurant,29456,Caribbean,1,Williamsburg,4.39945
Yakitori Nonono,28460,Japanese,1,Nomad,4.63647
Her Name is Han,1010,Korean,2,Midtown,4.72665
Take31,5225,Korean,2,Nomad,4.69744
Olea,49188,Mediterranean,2,Fort Greene,4.74379
Laser Wolf Brooklyn,58848,Israeli,2,Williamsburg,4.76829
The Four Horsemen,2492,New American,2,Williamsburg,4.87263
Le Crocodile,8302,French,2,Williamsburg,4.76715
Bar Blondeau,1054,French,2,Williamsburg,4.65571
St. Anselm,32467,Steakhouse,2,Williamsburg,4.75847
Gallow Green,51807,New American,2,Chelsea,4.21547
Brooklyn Crab,4571,Seafood,2,Red Hook,4.32193
HYUN,9694,Korean,4,Midtown,4.7389
Claro,1621,Mexican,2,Gowanus,4.72843
Di An Di,2727,Vietnamese,2,Greenpoint,4.74957
